date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-03,4668.0,115242.0,760.0,13917.0,,,1906.029040339303,230.17828703425903,
2020-04-04,4585.0,119827.0,764.0,14681.0,,,1981.8620105234,242.81435883810857,
2020-04-05,4805.0,124632.0,681.0,15362.0,,,2061.3336401274537,254.07766367897443,
2020-04-06,4316.0,128948.0,527.0,15889.0,,,2132.7175222026035,262.79390692587066,
2020-04-07,3599.0,132547.0,636.0,16525.0,,,2192.242682440895,273.3129405217454,
2020-04-08,3039.0,135586.0,604.0,17129.0,,,2242.5058005192964,283.30271456562645,
2020-04-09,3836.0,139422.0,540.0,17669.0,,,2305.9507893145405,292.23396950552007,
2020-04-10,4204.0,143626.0,612.0,18281.0,,,2375.482262957713,302.35605843739955,
2020-04-11,3951.0,147577.0,570.0,18851.0,,,2440.8292782679346,311.7834942072873,
2020-04-12,4694.0,152271.0,619.0,19470.0,,,2518.46503880101,322.0213586661654,
2020-04-13,4092.0,156363.0,431.0,19901.0,,,2586.144104012204,329.14982325708047,
2020-04-14,3153.0,159516.0,564.0,20465.0,,,2638.2927092445834,338.4780228609694,
2020-04-15,2972.0,162488.0,604.0,21069.0,,,2687.447690135998,348.46779690485045,
2020-04-16,2667.0,165155.0,578.0,21647.0,,,2731.5581659224727,358.02754756273663,
2020-04-17,3786.0,168941.0,525.0,22172.0,,,2794.176186667727,366.7107120876332,
2020-04-18,3493.0,172434.0,575.0,22747.0,,,2851.948174640039,376.22084466251994,
2020-04-19,3491.0,175925.0,480.0,23227.0,,,2909.6870838903515,384.1597379424254,
2020-04-20,3047.0,178972.0,433.0,23660.0,7841.0,7841.0,2960.082516856751,391.3212812553401,129.6851295994557
2020-04-21,2256.0,181228.0,454.0,24114.0,28095.0,35936.0,2997.395315272307,398.83015114925075,594.3584768889224
2020-04-22,2729.0,183957.0,534.0,24648.0,44248.0,80184.0,3042.5312314407697,407.66216992314554,1326.1921224082078
2020-04-23,3370.0,187327.0,437.0,25085.0,37083.0,117267.0,3098.2688780101057,414.8898706800595,1939.521246363904
2020-04-24,2646.0,189973.0,464.0,25549.0,95273.0,212540.0,3142.0320272155845,422.5641341839681,3515.2757868981403
2020-04-25,3021.0,192994.0,420.0,25969.0,38676.0,251216.0,3191.99743679599,429.5106658038854,4154.952112926523
2020-04-26,2357.0,195351.0,415.0,26384.0,24113.0,275329.0,3230.9807106725257,436.37450061880367,4553.765724714774
2020-04-27,2324.0,197675.0,260.0,26644.0,26678.0,302007.0,3269.418185636068,440.67473447875244,4995.0027974675195
2020-04-28,1739.0,199414.0,333.0,26977.0,37554.0,339561.0,3298.180134414725,446.1823416916869,5616.121960454123
2020-04-29,2091.0,201505.0,382.0,27359.0,38589.0,378150.0,3332.7639382653133,452.50037759361163,6254.359362075523
2020-04-30,2086.0,203591.0,323.0,27682.0,41441.0,419591.0,3367.2650453109027,457.842591196548,6939.7670212683615
2020-05-01,1872.0,205463.0,285.0,27967.0,43732.0,463323.0,3398.226729102534,462.55630908149186,7663.066356511748
2020-05-02,1965.0,207428.0,269.0,28236.0,31231.0,494554.0,3430.726573467147,467.0053971904389,8179.607139896597
2020-05-03,1900.0,209328.0,474.0,28710.0,27047.0,521601.0,3462.151359366773,474.8450543043455,8626.94723685827
2020-05-04,1389.0,210717.0,174.0,28884.0,22999.0,544600.0,3485.124531795499,477.72290311831125,9007.33600049274
2020-05-05,1221.0,211938.0,195.0,29079.0,32211.0,576811.0,3505.319091576259,480.9480785132729,9540.085357657397
2020-05-06,1075.0,213013.0,236.0,29315.0,37771.0,614582.0,3523.0989046510467,484.8513677092264,10164.793561980958
2020-05-07,1444.0,214457.0,369.0,29684.0,13665.0,628247.0,3546.9817419347623,490.9543919181537,10390.803930043267
2020-05-08,1401.0,215858.0,274.0,29958.0,45428.0,673675.0,3570.1533866954865,495.4861768320998,11142.15402154232
2020-05-09,1327.0,217185.0,243.0,30201.0,36091.0,709766.0,3592.1011187422255,499.5052415550519,11739.076099386211
2020-05-10,1083.0,218268.0,194.0,30395.0,31384.0,741150.0,3610.013246705012,502.7138775890137,12258.14740500403
2020-05-11,802.0,219070.0,165.0,30560.0,25823.0,766973.0,3623.277814226854,505.44287215398117,12685.243324101944
2020-05-12,744.0,219814.0,179.0,30739.0,39620.0,806593.0,3635.5830988107073,508.40341777294594,13340.532806914141
2020-05-13,1402.0,221216.0,172.0,30911.0,37049.0,843642.0,3658.7712829324314,511.24818786491204,13953.299592595844
2020-05-14,888.0,222104.0,195.0,31106.0,41131.0,884773.0,3673.4582355002563,514.4733632598736,14633.580049878743
2020-05-15,992.0,223096.0,262.0,31368.0,39027.0,923800.0,3689.865281612061,518.8066758418221,15279.061691618057
2020-05-16,789.0,223885.0,242.0,31610.0,40657.0,964457.0,3702.9148374409056,522.8092012037744,15951.502491787049
