id,name,added_at,duration_sec,popularity,artists,genres
5bHDGWyIFML1LYXZWTD5MF,I Love You,2023-02-19T07:20:26Z,256.812,57,"[{'artist': 'Pritam', 'artist_id': '1wRPtKGflJrBx9BmLsSwlU'}, {'artist': 'Ash King', 'artist_id': '1cfG7UM0OD4O1II1nd15Qo'}, {'artist': 'Clinton Cerejo', 'artist_id': '2j9QVMZlqIj4Cb9UISBrXK'}]","['filmi', 'indian instrumental', 'modern bollywood', 'desi pop']"
0Ose0T05P8Ou0GvhwmMKcf,Meherbaan,2023-02-19T07:17:13Z,307.407,55,"[{'artist': 'Ash King', 'artist_id': '1cfG7UM0OD4O1II1nd15Qo'}, {'artist': 'Shilpa Rao', 'artist_id': '19LIHDDSHBD5NyYHI3gpzB'}, {'artist': 'Shekhar Ravjiani', 'artist_id': '4xd7mLI7urqrxELaXhAvzw'}]","['desi pop', 'filmi', 'modern bollywood']"
3cGMTR0B5zA3zQsVJjddtQ,Love Me Thoda Aur,2023-02-19T07:11:37Z,265.81,52,"[{'artist': 'Pritam', 'artist_id': '1wRPtKGflJrBx9BmLsSwlU'}, {'artist': 'Arijit Singh', 'artist_id': '4YRxDV8wJFPHPTeXepOstw'}]","['filmi', 'indian instrumental', 'modern bollywood', 'desi pop']"
0DuWDLjriRPjDRoPgaCslY,Love In The Dark,2023-02-19T04:42:58Z,285.935,78,"[{'artist': 'Adele', 'artist_id': '4dpARuHxo51G3z768sgnrY'}]","['british soul', 'pop', 'pop soul', 'uk pop']"
6Vm21aMI6lx9XBSTLxzCbk,Love In The Dark,2023-02-19T04:42:46Z,285.884,49,"[{'artist': 'Leroy Sanchez', 'artist_id': '1qwVM2JnEMXbKgvZESGsRn'}]","['channel pop', 'neo mellow', 'viral pop']"
0aPZbnkMoWJaJ5CNVLCj8S,That Should Be Me,2023-02-19T04:05:07Z,232.72,66,"[{'artist': 'Justin Bieber', 'artist_id': '1uNFoZAHBGtllmzznpCI3s'}]","['canadian pop', 'pop']"
7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2023-02-17T13:13:10Z,201.493,77,"[{'artist': 'Maroon 5', 'artist_id': '04gDigrS5kc9YWfZHwBETP'}, {'artist': 'Christina Aguilera', 'artist_id': '1l7ZsJRRS8wlW3WfJfPfNS'}]","['pop', 'dance pop', 'post-teen pop']"
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,2023-02-17T06:36:43Z,267.866,80,"[{'artist': 'Coldplay', 'artist_id': '4gzpq5DPGxSnKTe4SA8HAU'}]","['permanent wave', 'pop']"
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,2023-02-17T06:36:37Z,258.986,82,"[{'artist': 'Ed Sheeran', 'artist_id': '6eUKZXaKkcviH0Ku9w2n3V'}]","['pop', 'uk pop']"
7oiGzkDfrxvgV1z1mP5muH,Buttercup,2023-02-15T06:04:08Z,209.28,49,"[{'artist': 'Kid Travis', 'artist_id': '6UWui6Csqc1ywqnDzjOWnk'}]",['pop']
7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),2023-02-13T08:44:59Z,227.48000000000002,76,"[{'artist': 'R. City', 'artist_id': '4TH4BHy0LdBi3dpBW4P2UX'}, {'artist': 'Adam Levine', 'artist_id': '4bYPcJP5jwMhSivRcqie2n'}]","['reggae fusion', 'virgin islands reggae', 'deep talent show']"
75MNhvTCCKsST3YqqUiU9r,Shivers,2023-02-13T08:16:45Z,207.853,70,"[{'artist': 'Ed Sheeran', 'artist_id': '6eUKZXaKkcviH0Ku9w2n3V'}]","['pop', 'uk pop']"
5euumi7eqEgmxvCIJw2pSp,Hot Rod,2023-02-13T06:37:52Z,204.014,69,"[{'artist': 'Dayglow', 'artist_id': '6eJa3zG1QZLRB3xgRuyxbm'}]","['austindie', 'indie rock', 'modern rock']"
